,RunId,iteration,Step,walls,boxes,time,visionRange,rows,columns,Scanner Agent Moves,Minion Random Moves,Minion Destination Movements,Minion 1 Total Piled Boxes,Minion 2 Total Piled Boxes,Minion 3 Total Piled Boxes,Minion 4 Total Piled Boxes,Minion 5 Total Piled Boxes,Percentage piled boxes
122,1,1,21,2,6,500,10,21,21,22,83,26,1,0,0,0,0,0.0
123,1,1,22,2,6,500,10,21,21,23,86,28,1,0,0,0,0,0.0
124,1,1,23,2,6,500,10,21,21,24,89,30,1,0,0,0,0,0.0
125,1,1,24,2,6,500,10,21,21,25,92,32,1,0,0,0,0,0.0
126,1,1,25,2,6,500,10,21,21,26,95,34,1,0,0,0,0,0.0
127,1,1,26,2,6,500,10,21,21,27,98,35,1,1,0,0,0,0.0
128,1,1,27,2,6,500,10,21,21,28,101,37,1,1,0,0,0,0.0
129,1,1,28,2,6,500,10,21,21,29,104,39,1,1,0,0,0,0.0
130,1,1,29,2,6,500,10,21,21,30,107,41,1,1,0,0,0,0.0
131,1,1,30,2,6,500,10,21,21,31,110,43,1,1,0,0,0,0.0
132,1,1,31,2,6,500,10,21,21,32,113,45,1,1,0,0,0,0.0
133,1,1,32,2,6,500,10,21,21,33,116,47,1,1,0,0,0,0.0
134,1,1,33,2,6,500,10,21,21,34,119,49,1,1,0,0,0,0.0
135,1,1,34,2,6,500,10,21,21,35,122,51,1,1,0,0,0,16.666666666666668
136,1,1,35,2,6,500,10,21,21,36,126,52,1,1,0,0,0,16.666666666666668
137,1,1,36,2,6,500,10,21,21,37,130,53,1,1,0,0,0,16.666666666666668
138,1,1,37,2,6,500,10,21,21,38,134,54,1,1,0,0,0,16.666666666666668
139,1,1,38,2,6,500,10,21,21,39,137,56,1,1,0,0,0,16.666666666666668
140,1,1,39,2,6,500,10,21,21,40,140,58,1,1,0,0,0,16.666666666666668
141,1,1,40,2,6,500,10,21,21,41,143,60,1,1,0,0,0,16.666666666666668
142,1,1,41,2,6,500,10,21,21,42,146,62,1,1,0,0,0,16.666666666666668
143,1,1,42,2,6,500,10,21,21,43,149,64,1,1,0,0,0,16.666666666666668
144,1,1,43,2,6,500,10,21,21,44,152,66,1,1,0,0,0,16.666666666666668
145,1,1,44,2,6,500,10,21,21,45,155,68,1,1,0,0,0,16.666666666666668
146,1,1,45,2,6,500,10,21,21,46,158,70,1,1,0,0,0,16.666666666666668
147,1,1,46,2,6,500,10,21,21,47,161,72,1,1,0,0,0,16.666666666666668
148,1,1,47,2,6,500,10,21,21,48,164,74,1,1,0,0,0,16.666666666666668
149,1,1,48,2,6,500,10,21,21,49,167,76,1,1,0,0,0,16.666666666666668
150,1,1,49,2,6,500,10,21,21,50,170,78,1,1,0,0,0,16.666666666666668
151,1,1,50,2,6,500,10,21,21,51,173,80,1,1,0,0,0,33.333333333333336
152,1,1,51,2,6,500,10,21,21,52,177,81,1,1,0,0,0,33.333333333333336
153,1,1,52,2,6,500,10,21,21,53,181,82,1,1,0,0,0,33.333333333333336
154,1,1,53,2,6,500,10,21,21,54,185,83,1,1,0,0,0,33.333333333333336
155,1,1,54,2,6,500,10,21,21,55,189,84,1,1,0,0,0,33.333333333333336
156,1,1,55,2,6,500,10,21,21,56,193,85,1,1,0,0,0,33.333333333333336
157,1,1,56,2,6,500,10,21,21,57,197,86,1,1,0,0,0,33.333333333333336
158,1,1,57,2,6,500,10,21,21,58,201,87,1,1,0,0,0,33.333333333333336
159,1,1,58,2,6,500,10,21,21,59,205,88,1,1,0,0,0,33.333333333333336
160,1,1,59,2,6,500,10,21,21,60,209,89,1,1,0,0,0,33.333333333333336
161,1,1,60,2,6,500,10,21,21,61,213,90,1,1,0,0,0,33.333333333333336
162,1,1,61,2,6,500,10,21,21,62,217,91,1,1,0,0,0,33.333333333333336
163,1,1,62,2,6,500,10,21,21,63,221,92,1,1,0,0,0,33.333333333333336
164,1,1,63,2,6,500,10,21,21,64,225,93,1,1,0,0,0,33.333333333333336
165,1,1,64,2,6,500,10,21,21,65,229,94,1,1,0,0,0,33.333333333333336
166,1,1,65,2,6,500,10,21,21,66,233,94,2,1,0,0,0,33.333333333333336
167,1,1,66,2,6,500,10,21,21,67,237,95,2,1,0,0,0,33.333333333333336
168,1,1,67,2,6,500,10,21,21,68,241,96,2,1,0,0,0,33.333333333333336
169,1,1,68,2,6,500,10,21,21,69,245,97,2,1,0,0,0,33.333333333333336
170,1,1,69,2,6,500,10,21,21,70,249,98,2,1,0,0,0,33.333333333333336
171,1,1,70,2,6,500,10,21,21,71,253,99,2,1,0,0,0,33.333333333333336
172,1,1,71,2,6,500,10,21,21,72,257,100,2,1,0,0,0,33.333333333333336
173,1,1,72,2,6,500,10,21,21,73,260,102,2,1,0,0,0,33.333333333333336
174,1,1,73,2,6,500,10,21,21,74,263,104,2,1,0,0,0,33.333333333333336
175,1,1,74,2,6,500,10,21,21,75,266,106,2,1,0,0,0,33.333333333333336
176,1,1,75,2,6,500,10,21,21,76,269,108,2,1,0,0,0,33.333333333333336
177,1,1,76,2,6,500,10,21,21,77,272,110,2,1,0,0,0,33.333333333333336
178,1,1,77,2,6,500,10,21,21,78,275,112,2,1,0,0,0,33.333333333333336
179,1,1,78,2,6,500,10,21,21,79,278,114,2,1,0,0,0,33.333333333333336
180,1,1,79,2,6,500,10,21,21,80,281,116,2,1,0,0,0,33.333333333333336
181,1,1,80,2,6,500,10,21,21,81,284,118,2,1,0,0,0,33.333333333333336
182,1,1,81,2,6,500,10,21,21,82,287,120,2,1,0,0,0,33.333333333333336
183,1,1,82,2,6,500,10,21,21,83,290,122,2,1,0,0,0,33.333333333333336
184,1,1,83,2,6,500,10,21,21,84,293,124,2,1,0,0,0,33.333333333333336
185,1,1,84,2,6,500,10,21,21,85,296,126,2,1,0,0,0,33.333333333333336
186,1,1,85,2,6,500,10,21,21,86,299,128,2,1,0,0,0,33.333333333333336
187,1,1,86,2,6,500,10,21,21,87,302,130,2,1,0,0,0,33.333333333333336
188,1,1,87,2,6,500,10,21,21,88,305,132,2,1,0,0,0,33.333333333333336
189,1,1,88,2,6,500,10,21,21,89,308,134,2,1,0,0,0,33.333333333333336
190,1,1,89,2,6,500,10,21,21,90,311,136,2,1,0,0,0,50.0
191,1,1,90,2,6,500,10,21,21,91,315,137,2,1,0,0,0,50.0
192,1,1,91,2,6,500,10,21,21,92,319,138,2,1,0,0,0,50.0
193,1,1,92,2,6,500,10,21,21,93,323,139,2,1,0,0,0,50.0
194,1,1,93,2,6,500,10,21,21,94,326,141,2,1,0,0,0,50.0
195,1,1,94,2,6,500,10,21,21,95,329,143,2,1,0,0,0,50.0
196,1,1,95,2,6,500,10,21,21,96,332,145,2,1,0,0,0,50.0
197,1,1,96,2,6,500,10,21,21,97,335,147,2,1,0,0,0,50.0
198,1,1,97,2,6,500,10,21,21,98,338,149,2,1,0,0,0,50.0
199,1,1,98,2,6,500,10,21,21,99,341,151,2,1,0,0,0,50.0
200,1,1,99,2,6,500,10,21,21,100,344,153,2,1,0,0,0,50.0
201,1,1,100,2,6,500,10,21,21,101,347,155,2,1,0,0,0,50.0
202,2,2,0,2,6,500,10,21,21,1,5,0,0,0,0,0,0,0.0
203,2,2,1,2,6,500,10,21,21,2,10,0,0,0,0,0,0,0.0
204,2,2,2,2,6,500,10,21,21,3,15,0,0,0,0,0,0,0.0
205,2,2,3,2,6,500,10,21,21,4,20,0,0,0,0,0,0,0.0
206,2,2,4,2,6,500,10,21,21,5,25,0,0,0,0,0,0,0.0
207,2,2,5,2,6,500,10,21,21,6,29,1,0,0,0,0,0,0.0
208,2,2,6,2,6,500,10,21,21,7,33,2,0,0,0,0,0,0.0
209,2,2,7,2,6,500,10,21,21,8,37,3,0,0,0,0,0,0.0
210,2,2,8,2,6,500,10,21,21,9,41,4,0,0,0,0,0,0.0
211,2,2,9,2,6,500,10,21,21,10,45,5,0,0,0,0,0,0.0
